pos_error,yaw_error
0.260257,0.0239538
0.260216,0.0239538
0.260175,0.0239537
0.260135,0.0239537
0.260094,0.0239537
0.260053,0.0239537
0.260013,0.0239537
0.259973,0.0239537
0.259932,0.0239537
0.259892,0.0239537
0.259852,0.0239537
0.259812,0.0239536
0.259772,0.0239536
0.259733,0.0239536
0.259693,0.0239536
0.259654,0.0239536
0.259614,0.0239536
0.259575,0.0239536
0.259536,0.0239536
0.259497,0.0239536
0.259458,0.0239536
0.259419,0.0239536
0.259381,0.0239536
0.259342,0.0239536
0.259304,0.0239535
0.259265,0.0239535
0.259227,0.0239535
0.259189,0.0239535
0.259151,0.0239535
0.259113,0.0239535
0.259075,0.0239535
0.259037,0.0239535
0.259,0.0239535
0.258962,0.0239535
0.258925,0.0239535
0.258888,0.0239535
0.258851,0.0239535
0.258814,0.0239535
0.258777,0.0239535
0.25874,0.0239535
0.258704,0.0239534
0.258667,0.0239534
0.258631,0.0239534
0.258594,0.0239534
0.258558,0.0239534
0.258522,0.0239534
0.258486,0.0239534
0.25845,0.0239534
0.258414,0.0239534
0.258379,0.0239534
0.258343,0.0239534
0.258308,0.0239534
0.258272,0.0239534
0.258237,0.0239534
0.258202,0.0239534
0.258167,0.0239534
0.258132,0.0239534
0.258098,0.0239534
0.258063,0.0239534
0.258029,0.0239534
0.257994,0.0239534
0.25796,0.0239534
0.257926,0.0239534
0.257892,0.0239534
0.257858,0.0239533
0.257824,0.0239533
0.25779,0.0239533
0.257757,0.0239533
0.257723,0.0239533
0.25769,0.0239533
0.257657,0.0239533
0.257624,0.0239533
0.25759,0.0239533
0.257558,0.0239533
0.257525,0.0239533
0.257492,0.0239533
0.25746,0.0239533
0.257427,0.0239533
0.257395,0.0239533
0.257363,0.0239533
0.25733,0.0239533
0.257299,0.0239533
0.257267,0.0239533
0.257235,0.0239533
0.257203,0.0239533
0.257172,0.0239533
0.25714,0.0239533
0.257109,0.0239533
0.257078,0.0239533
0.257047,0.0239533
0.257016,0.0239533
0.256985,0.0239533
